Responce,F value,Pr(>F)
FDbranch_AG,0.11012680964429558,0.7423071847620709
FDbranch_BG,36.378051704524594,5.692797439804939e-7
FDis_AG,13.163143021989205,0.0010491038342718406
FDis_BG,0.5230399959838276,0.47409519446571635
gr.ef_AG,3.3078796036919162,0.07894451826393571
gr.ef_BG,8.453010831508434,0.006126381025725008
leg.ef_AG,0.9624259460025394,0.3344222529003945
leg.ef_BG,0.026074094712860596,0.8725980232688118
numfg_AG,6.589952747007766,0.015484544897393442
numfg_BG,3.571908544828573,0.0666183749790284
sh.ef_AG,0.6000637347401991,0.4446165223178409
sh.ef_BG,0.004771705221341198,0.9452998890998269
sowndiv_AG,0.2215605078784428,0.6412579977301746
sowndiv_BG,28.908323787184415,4.3844486068677745e-6
th.ef_AG,8.386536847014912e-4,0.9770886744270671
th.ef_BG,1.1621669168361468,0.2879949564824233
